ID,Group,Credit,Title,Prof,Time,Description,URL
28261,1,3,استاتیک,سیده مریم هویت طلب,شنبه و دوشنبه 15 تا 16:30,مخصوص دانشجویان دانشکده مکانیک,cw.sharif.edu
28261,2,3,استاتیک,سمیه محمدی,شنبه و دوشنبه 7:30 تا 9,مخصوص دانشجویان دانشکده مواد,vc.sharif.edu/somayemohamadi71
28262,1,3,مقاومت مصالح ۱ ,محسن اصغری,شنبه و دوشنبه 10:30 تا 12,,vc.sharif.edu/asghari
28262,2,3,مقاومت مصالح ۱ ,نوید ارجمند,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/arjmand
28262,3,3,مقاومت مصالح ۱ ,فمیدا فلاح رجب زاده,یک‌شنبه و سه‌شنبه 9 تا 10:30,,cw.sharif.edu
28263,1,2,مقاومت مصالح ۲ ,محمدرضا موحدی,شنبه 10:30 تا 12:30,همزمان با آز مقاومت اخذ شود امکان حذف w بدون حذف آزمایشگاه مربوطه وجود ندارد.,cw.sharif.edu
28267,1,3,روش‌های تولید ,محمدرضا موحدی,شنبه و دوشنبه 9 تا 10:30,,cw.sharif.edu
28354,1,2,نگارش علمی,سعید بهزادی پور، سعید خدایگان، نوید ارجمند,دوشنبه 10:30 تا 12:30,برای دانشجویان کارشناسی  گذراندن 80 واحد الزامی است,vc.sharif.edu/arjmand
28372,1,3,اکوستیک,حمید مهدیقلی,شنبه و دوشنبه 9 تا 10:30,,vc.sharif.edu/mehdi
28416,1,3,کنترل اتوماتیک ,حامد مرادی,شنبه 10:30 تا 13، دوشنبه 10:30 تا 12,,cw.sharif.edu
