ID,Group,Credit,Title,Prof,Time,Description,URL
31118,1,2,زبان تخصصی مکانیک,محمد سلطانی,شنبه 17 تا 19,,vc.sharif.edu/soltaani777
31119,1,3,آشنایی با ادبیات فارسی,سعید رحیمی,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص ورودی,cw.sharif.edu
31119,2,3,آشنایی با ادبیات فارسی,سعید رحیمی,یک‌شنبه و سه‌شنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31119,3,3,آشنایی با ادبیات فارسی,سعید رحیمی,یک‌شنبه و سه‌شنبه 15 تا 16:30,مخصوص ورودی,cw.sharif.edu
31119,4,3,آشنایی با ادبیات فارسی,مریم سیدان,یک‌شنبه و سه‌شنبه 9 تا 10:30,مخصوص ورودی,vc.sharif.edu/seyedan
31119,5,3,آشنایی با ادبیات فارسی,مریم سیدان,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص ورودی,vc.sharif.edu/seyedan
31119,6,3,آشنایی با ادبیات فارسی,شهناز عرش اکمل,یک‌شنبه و سه‌شنبه 16:30 تا 18,مخصوص ورودی,cw.sharif.edu
31119,7,3,آشنایی با ادبیات فارسی,شهناز عرش اکمل,یک‌شنبه و سه‌شنبه 18 تا 19:30,مخصوص ورودی,cw.sharif.edu
31119,8,3,آشنایی با ادبیات فارسی,راضیه آبادیان,شنبه و دوشنبه 9 تا 10:30,مخصوص ورودی,cw.sharif.edu
31119,9,3,آشنایی با ادبیات فارسی,راضیه آبادیان,شنبه و دوشنبه 10:30 تا 12,مخصوص ورودی,cw.sharif.edu
31119,10,3,آشنایی با ادبیات فارسی,زهرا السادات طاهری قلعه نو,شنبه و دوشنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31119,11,3,آشنایی با ادبیات فارسی,زهرا السادات طاهری قلعه نو,شنبه و دوشنبه 15 تا 16:30,مخصوص ورودی,cw.sharif.edu
31119,12,3,آشنایی با ادبیات فارسی,علی قیدی,یک‌شنبه و سه‌شنبه 16:30 تا 18,مخصوص ورودی,cw.sharif.edu
31119,13,3,آشنایی با ادبیات فارسی,علی اکبر کمالی نهاد,یک‌شنبه و سه‌شنبه 16:30 تا 18,مخصوص غیر ورودی,vc.sharif.edu/jahangard-a
31123,1,3,زبان خارجی ,سعید رضائی,شنبه و دوشنبه 13:30 تا 15,مخصوص ورودی,vc.sharif.edu/srezaei
31123,2,3,زبان خارجی ,سعید رضائی,شنبه و دوشنبه 15 تا 16:30,مخصوص ورودی,vc.sharif.edu/srezaei
31123,4,3,زبان خارجی ,علی جهانگرد,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص ورودی,cw.sharif.edu
31123,5,3,زبان خارجی ,علی جهانگرد,یک‌شنبه و سه‌شنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31123,6,3,زبان خارجی ,علی جهانگرد,یک‌شنبه و سه‌شنبه 15 تا 16:30,مخصوص ورودی,cw.sharif.edu
31123,7,3,زبان خارجی ,آزاده عسگری,یک‌شنبه و سه‌شنبه 9 تا 10:30,مخصوص ورودی,vc.sharif.edu/dr.azadehasgari
31123,8,3,زبان خارجی ,آزاده عسگری,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص ورودی,vc.sharif.edu/dr.azadehasgari
31123,9,3,زبان خارجی ,آزاده عسگری,یک‌شنبه و سه‌شنبه 13:30 تا 15,مخصوص ورودی,vc.sharif.edu/dr.azadehasgari
31123,10,3,زبان خارجی ,مجتبی اسفندیاری,یک‌شنبه و سه‌شنبه 9 تا 10:30,مخصوص ورودی,cw.sharif.edu
31123,11,3,زبان خارجی ,مجتبی اسفندیاری,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص ورودی,cw.sharif.edu
31123,12,3,زبان خارجی ,رویا جعفری,شنبه و دوشنبه 15 تا 16:30,مخصوص ورودی,vc.sharif.edu/roya.jafari
31123,13,3,زبان خارجی ,رویا جعفری,شنبه و دوشنبه 16:30 تا 18,مخصوص ورودی,vc.sharif.edu/roya.jafari
31123,14,3,زبان خارجی ,زهرا متقی,شنبه و دوشنبه 9 تا 10:30,مخصوص ورودی,cw.sharif.edu
31123,15,3,زبان خارجی ,زهرا متقی,شنبه و دوشنبه 10:30 تا 12,مخصوص ورودی,cw.sharif.edu
31123,16,3,زبان خارجی ,زهرا متقی,شنبه و دوشنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31123,17,3,زبان خارجی ,مریم واعظی,شنبه و دوشنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31123,18,3,زبان خارجی ,مریم واعظی,شنبه و دوشنبه 15 تا 16:30,مخصوص ورودی,cw.sharif.edu
31123,19,3,زبان خارجی ,مریم واعظی,شنبه و دوشنبه 16:30 تا 18,مخصوص ورودی,cw.sharif.edu
31123,20,3,زبان خارجی ,هانیه سیری,شنبه و دوشنبه 13:30 تا 15,مخصوص ورودی,cw.sharif.edu
31123,21,3,زبان خارجی ,هانیه سیری,شنبه و دوشنبه 15 تا 16:30,مخصوص ورودی,cw.sharif.edu
31123,22,3,زبان خارجی ,هانیه سیری,شنبه و دوشنبه 16:30 تا 18,مخصوص ورودی,cw.sharif.edu
31123,23,3,زبان خارجی ,الهام نویی,یک‌شنبه و سه‌شنبه 13:30 تا 15,مخصوص ورودی,vc.sharif.edu/feivazian
31123,24,3,زبان خارجی ,الهام نویی,یک‌شنبه و سه‌شنبه 15 تا 16:30,مخصوص ورودی,vc.sharif.edu/feivazian
31123,25,3,زبان خارجی ,فاطمه ضرابی,یک‌شنبه و سه‌شنبه 9 تا 10:30,مخصوص غیرورودی,vc.sharif.edu/fatemeh.zarrabi2021
31123,26,3,زبان خارجی ,فاطمه ضرابی,یک‌شنبه و سه‌شنبه 10:30 تا 12,مخصوص غیرورودی,vc.sharif.edu/fatemeh.zarrabi2021
31420,1,2,آشنایی با زبان و ادبیات فارسی (۲),مریم سیدان,یک‌شنبه 13 تا 15,موضوع این درس آشنایی با«وزن شعر فارسی» است. طبق مصوبه شورای آموزش دانشگاه دانشجویان می توانند در صورت موافقت معاون آموزشی دانشکده خود این درس را به عنوان درس اختیاری خارج از دانشکده اخذ نمایند.,vc.sharif.edu/seyedan
31718,1,2,زبان تخصصی عمران ,محمد سلطانی,شنبه 15 تا 17,,vc.sharif.edu/soltaani777
31996,1,2,زبان تخصصی صنایع,عادل فردوسی پور,سه‌شنبه 13 تا 15,,cw.sharif.edu
33011,1,1,کارگاه ماشین‌افزار,ماهان امیرنیا,شنبه 13:30 تا 16:30,,
33011,2,1,کارگاه ماشین‌افزار,ماهان امیرنیا,چهارشنبه 13:30 تا 16:30,,
33011,3,1,کارگاه ماشین‌افزار,ماهان امیرنیا,یک‌شنبه 13:30 تا 16:30,,
33011,4,1,کارگاه ماشین‌افزار,ماهان امیرنیا,یک‌شنبه 10:30 تا 13:30,ویژه ورودی 14011,
33011,5,1,کارگاه ماشین‌افزار,ماهان امیرنیا,سه‌شنبه 10:30 تا 13:30,ویژه ورودی 14011,
33011,6,1,کارگاه ماشین‌افزار,ماهان امیرنیا,چهارشنبه 10:30 تا 13:30,ویژه ورودی 14011,
33011,7,1,کارگاه ماشین‌افزار,ماهان امیرنیا,شنبه 7:30 تا 10:30,مخصوص دانشجویان صنایع (غیر صنایع حذف می شود),
33012,1,1,جوشکاری و ورقکاری,رضا یوسفی,یک‌شنبه 14 تا 17,,
33012,2,1,جوشکاری و ورقکاری,رضا یوسفی,دوشنبه 14 تا 17,,
33012,3,1,جوشکاری و ورقکاری,رضا یوسفی,شنبه 14 تا 17,,
33012,4,1,جوشکاری و ورقکاری,علی رحیمی,شنبه 8 تا 11,ویژه ورودی 14011,
33012,5,1,جوشکاری و ورقکاری,علی رحیمی,یک‌شنبه 8 تا 11,گروه جدید,
33013,1,1,اتومکانیک,صیاد نصیری,شنبه 7:30 تا 10:30,,
33013,2,1,اتومکانیک,صیاد نصیری,شنبه 10:30 تا 13:30,,
33013,3,1,اتومکانیک,صیاد نصیری,سه‌شنبه 10:30 تا 13:30,,
